"variable","estimate","SE","p-value","macronutrient","EDF","statistic"
"Intercept",0.126993849052729,0.00728492218579501,4.68189844889112e-68,"carbohydrate",NA,NA
"Medium",-0.0202818263619999,0.00717055799188426,0.00467686759324462,"carbohydrate",NA,NA
"High",-0.0111339075922625,0.0071711659925026,0.120520216679836,"carbohydrate",NA,NA
"2015-11-25",-0.00944444444444444,0.00706085810391351,0.181034225535822,"carbohydrate",NA,NA
"2015-12-01",-0.012119161662621,0.00569171739237021,0.0332325302346379,"carbohydrate",NA,NA
"Medium:2015-11-25",0.0185555555555556,0.00998556129254652,0.063135137065844,"carbohydrate",NA,NA
"High:2015-11-25",0.00444444444444445,0.00998556129254666,0.656256816159524,"carbohydrate",NA,NA
"Medium:2015-12-01",0.0191113117712027,0.00799032986124821,0.0167657424445869,"carbohydrate",NA,NA
"High:2015-12-01",0.00976172599816708,0.00799242405212442,0.221945059313965,"carbohydrate",NA,NA
"Intercept",0.208716847189773,0.0174133064792837,4.20457631147211e-33,"protein",NA,NA
"Medium",-0.00126265737397741,0.0138931676199483,0.927585294018759,"protein",NA,NA
"High",-0.0344050099950522,0.0139884769531642,0.0139120974156563,"protein",NA,NA
"2015-11-25",0.0256222222222222,0.010469615570249,0.0143933573973563,"protein",NA,NA
"2015-12-01",-0.0493074976159325,0.00927540269481864,1.06107269323425e-07,"protein",NA,NA
"Medium:2015-11-25",-0.0119,0.0148062723322786,0.421562493053225,"protein",NA,NA
"High:2015-11-25",-0.0228222222222222,0.0148062723322786,0.123222190219742,"protein",NA,NA
"Medium:2015-12-01",0.00826482819353263,0.0127115512690556,0.515574343157351,"protein",NA,NA
"High:2015-12-01",0.0564201232709238,0.0127445179031093,9.55477809120016e-06,"protein",NA,NA
"s(species)",NA,NA,1.72260187647488e-05,"carbohydrate",4.32491542228222,67.3045688057934
"s(plot)",NA,NA,0.206980186296153,"carbohydrate",1.06749341702301,1.64292603858144
"s(cage)",NA,NA,0.129640291628328,"carbohydrate",2.49540026934398,3.44217807929049
"s(species)",NA,NA,0,"protein",5.02470648732506,307.92904742013
"s(plot)",NA,NA,0,"protein",7.42113696832771,214.489371620243
"s(cage)",NA,NA,7.20619494113395e-05,"protein",13.8758238820841,89.94433306466
