".smooth",".type",".by",".estimate",".se","bio12","nymph_density_total_count","longitude","latitude","ecoregion"
"s(bio12)","TPRS",NA,0.0255882761310229,0.044007601017142,152,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.0248416091739612,0.0436109036030048,159.30303030303,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.0240945781046863,0.0432355833103485,166.606060606061,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.0233463775690344,0.0428813506971875,173.909090909091,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.0225958177448845,0.0425472826324583,181.212121212121,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.0218414045468681,0.0422318465749507,188.515151515152,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.0210814358309331,0.0419330341117671,195.818181818182,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.0203140833335681,0.0416485825525044,203.121212121212,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.0195374846119303,0.0413762446322378,210.424242424242,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.018749833227677,0.0411140354071818,217.727272727273,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.0179494710036913,0.0408604477797678,225.030303030303,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.0171349888783065,0.0406146050017145,232.333333333333,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.0163053486285007,0.040376321197488,239.636363636364,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.0154598954844826,0.0401459166811727,246.939393939394,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.0145983776301338,0.0399240021717518,254.242424242424,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.0137209703396435,0.0397112846736792,261.545454545455,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.0128282737021466,0.0395083968226354,268.848484848485,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.0119213705877239,0.0393158188677824,276.151515151515,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.0110018020981746,0.0391338438224381,283.454545454545,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.010071524979164,0.0389626010119636,290.757575757576,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.00913293247018265,0.038802135923765,298.060606060606,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.00818884790788148,0.0386524957165492,305.363636363636,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.00724239870241095,0.0385137709421161,312.666666666667,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.00629689467242703,0.0383860943353423,319.969696969697,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.0053557080340784,0.0382696080941444,327.272727272727,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.00442216878061889,0.0381644111283973,334.575757575758,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.00349948764942405,0.038070519432383,341.878787878788,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.00259066910910437,0.0379878807800308,349.181818181818,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.00169842638043726,0.0379164309169788,356.484848484848,NA,NA,NA,NA
