".smooth",".type",".by",".estimate",".se","nitrogen","phosphorus","nymph_density_total_count","longitude","latitude","ecoregion"
"s(nitrogen)","TPRS",NA,0.0505632745798446,0.0281943976858108,0.0226257677405964,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,0.051275329744679,0.0277433324260937,0.0264339258540008,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,0.0519899883712706,0.0273268800548359,0.0302420839674052,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,0.0527133143952037,0.0269470581705691,0.0340502420808096,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,0.0534530960160839,0.0266046051857421,0.037858400194214,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,0.0542166138956505,0.0262981807232184,0.0416665583076184,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,0.0550087478843772,0.0260242879764158,0.0454747164210227,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,0.0558304925225929,0.0257778458877252,0.0492828745344271,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,0.0566779434280737,0.0255531889308997,0.0530910326478315,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,0.0575417986166203,0.0253451795893746,0.0568991907612359,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,0.0584073924242584,0.0251501158572318,0.0607073488746403,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,0.0592552479157062,0.0249661995199851,0.0645155069880447,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,0.0600620996028697,0.024793470016455,0.0683236651014491,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,0.0608023051356128,0.0246332619568519,0.0721318232148535,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,0.0614495353923509,0.0244873721171904,0.0759399813282579,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,0.0619786097746554,0.024357192577639,0.0797481394416623,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,0.0623673296582374,0.024243062631768,0.0835562975550666,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,0.0625981593535955,0.0241440142612343,0.087364455668471,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,0.0626596112841378,0.0240579578318457,0.0911726137818754,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,0.0625472102604581,0.0239822172784653,0.0949807718952798,NA,NA,NA,NA,NA
